Funcion objetivo: 99.0 (integer optimal solution)

Variables x_ != 0:
  x_1_0 = 1.0
  x_0_51 = 1.0
  x_2_1 = 1.0
  x_11_2 = 1.0
  x_13_3 = 1.0
  x_3_14 = 1.0
  x_4_5 = 1.0
  x_14_4 = 1.0
  x_5_15 = 1.0
  x_7_6 = 1.0
  x_6_16 = 1.0
  x_17_7 = 1.0
  x_9_8 = 1.0
  x_8_17 = 1.0
  x_19_9 = 1.0
  x_10_11 = 1.0
  x_20_10 = 1.0
  x_12_21 = 1.0
  x_23_12 = 1.0
  x_22_13 = 1.0
  x_15_24 = 1.0
  x_16_27 = 1.0
  x_18_19 = 1.0
  x_29_18 = 1.0
  x_30_20 = 1.0
  x_21_31 = 1.0
  x_33_22 = 1.0
  x_34_23 = 1.0
  x_24_34 = 1.0
  x_35_25 = 1.0
  x_25_36 = 1.0
  x_26_35 = 1.0
  x_37_26 = 1.0
  x_27_37 = 1.0
  x_28_29 = 1.0
  x_38_28 = 1.0
  x_40_30 = 1.0
  x_31_40 = 1.0
  x_41_32 = 1.0
  x_32_43 = 1.0
  x_44_33 = 1.0
  x_36_46 = 1.0
  x_39_38 = 1.0
  x_49_39 = 1.0
  x_50_41 = 1.0
  x_52_42 = 1.0
  x_42_53 = 1.0
  x_43_52 = 1.0
  x_53_44 = 1.0
  x_45_54 = 1.0
  x_55_45 = 1.0
  x_46_47 = 1.0
  x_47_48 = 1.0
  x_48_57 = 1.0
  x_59_49 = 1.0
  x_60_50 = 1.0
  x_51_62 = 1.0
  x_54_63 = 1.0
  x_56_55 = 1.0
  x_67_56 = 1.0
  x_57_68 = 1.0
  x_58_59 = 1.0
  x_69_58 = 1.0
  x_61_60 = 1.0
  x_72_61 = 1.0
  x_62_73 = 1.0
  x_63_74 = 1.0
  x_64_65 = 1.0
  x_73_64 = 1.0
  x_65_76 = 1.0
  x_66_67 = 1.0
  x_77_66 = 1.0
  x_68_79 = 1.0
  x_78_69 = 1.0
  x_80_70 = 1.0
  x_70_81 = 1.0
  x_71_72 = 1.0
  x_81_71 = 1.0
  x_74_83 = 1.0
  x_84_75 = 1.0
  x_75_86 = 1.0
  x_76_87 = 1.0
  x_88_77 = 1.0
  x_87_78 = 1.0
  x_79_89 = 1.0
  x_90_80 = 1.0
  x_82_91 = 1.0
  x_92_82 = 1.0
  x_83_84 = 1.0
  x_85_94 = 1.0
  x_95_85 = 1.0
